,tweets
171, 'bears! did you watch the magical qatar world cup 2022?🌍\n\nwho were you supporting?⚽️🏆\n\n#aptosbears #qatarworldcup2022 #nfts #aptosnft #nftcommunity 
172, 'just like in #qatarworldcup2022'
173, 'added 1 of only 3 created kings of england to my match ready lions @cryptocomnft collection today 👑 @loadedlions_cdc ⚽️\n\n#fifaworldcup2022 #nftcollection \n#threelions #lionking #loadedlions #england #unitedkingdom #nfts  #qatarworldcup2022 #crofam 
174, '🇬🇧 england premier league match day #epl\n\n🆚 #chelsea v #brighton\n⏰ sat 15 apr
175, 'good morning and welcome to the thursday edition of \n#guidesports with @nii_akwei87 🎙📻\n\ntune in now on @guideradio915 📡🇬🇭\n \nproudly brought to you by @betway_gh \n\n#guidesports | #fifaworldcup |#qatarworldcup2022 
176, 'raw emotion\n\nthrough back 18 dec
177, '@theeuropeanlad álvarez🇦🇷 socres goal today with @mancityes 🏴\u000e0067\u000e0062\u000e0065\u000e006e\u000e0067\u000e007fcomplete6⃣⚽️in #premierleague 22-23 and 1⃣3⃣⚽️toal with the citizens\ngoal of  world champion #qatarworldcup2022 \n🕷️on fire🔥\n@mancityfra @mancityfans2015 @mancitycatala @mancityfan36 @mancityindo @mancityfra @mcfdotnet @luisferpo 
178, 'qatar spied on top swiss prosecutor probing fifa – report #qatarworldcup2022 #fifa 
179," ""@jakubjanktojr we're all with you"
180, 'a7-bck boeing 787-8\nqatar flight qr99\n\ndoh➡️➡️gva\n\nfl400\n25.12.2023\n\n#rnav #rnavspotters #qatar #qatar787 #qatarworldcup2022 #worldcup #worldcup2022 #qatarairways @qatarairways #qatarfans #boeing @boeingairplanes @sx60contrails @planespottingbe 
181, 'great pleasure welcoming dr rachid bin shafeea al-mari
182, 'i’m down to the last 4! can anyone help me with these please? rts appreciated 🙏\nksa3🇸🇦 fra13🇫🇷 por9🇵🇹 gha18🇬🇭\n#panini #gotgotneed #qatarworldcup2022 
